idi,name,birth_year,birth_month,birth_day,gender,registration_id,athletic_score,leadership_score,talent_score,gpa,class_assigned,selected_activity,grade_level,talent,olympiad_scores,subject_specialization,fitness_score,sports_category,subject,mentor_grade,mentor_class,judge
28,Linda Jones,2007,5,4,Female,10028,2.9,3.6,8.7,8.6,11A,Talent,11,singing,,,,,,,,
29,Patricia Anderson,2011,9,22,Female,10029,5.9,5.6,7.4,9.8,7B,Scholar,7,,87-86-84,science,,,,,,
30,Michelle Thomas,2010,6,12,Female,10030,9.4,8.7,6.8,9.8,8A,Sports,8,,,,62.7,chess,,,,
31,Michael Wilson,2007,11,11,Male,10031,4.9,1.0,1.8,9.5,11B,Talent,11,singing,,,,,,,,
32,Lisa Jones,2011,6,13,Female,10032,8.7,8.9,4.5,6.5,7B,Scholar,7,,83-86-59,science,,,,,,
33,Anthony Hernandez,2010,1,26,Male,10033,7.3,5.5,4.2,6.4,8B,Scholar,8,,90-54-62,science,,,,,,
34,Jennifer Gonzalez,2007,9,4,Female,10034,2.0,1.9,6.0,8.9,11B,Scholar,11,,71-88-79,mathematics,,,,,,
35,Jessica Thomas,2007,5,7,Female,10035,4.6,3.1,8.7,7.5,11C,Sports,11,,,,96.5,chess,,,,
36,Lisa Davis,2011,4,22,Female,10036,3.1,4.9,1.9,9.4,7B,Scholar,7,,53-79-57,mathematics,,,,,,
37,Laura Williams,2012,1,9,Female,10037,2.2,7.6,4.9,6.5,6B,Talent,6,singing,,,,,,,,
38,Susan Taylor,2012,3,19,Female,10038,9.0,1.0,6.0,9.6,6C,Scholar,6,,90-75-99,science,,,,,,
39,Anna Garcia,2010,1,23,Female,10039,6.2,5.9,0.1,10.0,8C,Sports,8,,,,65.5,cricket,,,,
40,Sarah Taylor,2006,8,19,Female,10040,2.0,7.6,3.3,7.8,12C,Talent,12,singing,,,,,,,,
41,Donald Thomas,2012,1,19,Male,10041,0.4,0.5,3.3,7.7,6A,Scholar,6,,72-69-95,mathematics,,,,,,
42,John Hernandez,2010,1,13,Male,10042,6.6,1.9,5.5,6.1,8A,Scholar,8,,53-82-86,science,,,,,,
43,Laura Gonzalez,2010,4,22,Female,10043,7.1,2.7,4.6,9.6,8C,Talent,8,drama,,,,,,,,
44,Susan Brown,2006,7,14,Female,10044,7.9,2.6,8.3,7.6,12B,Talent,12,dance,,,,,,,,
45,William Williams,2009,1,3,Male,10045,7.3,3.1,8.9,6.9,9A,Talent,9,dance,,,,,,,,
46,Robert Davis,2008,7,4,Male,10046,1.6,1.7,9.5,7.4,10A,Talent,10,dance,,,,,,,,
47,William Miller,2010,5,2,Male,10047,4.9,0.3,0.8,8.8,8C,Sports,8,,,,75.3,cricket,,,,
48,Samantha Wilson,2008,8,27,Female,10048,2.2,7.1,5.1,9.0,10B,Talent,10,dance,,,,,,,,
49,Mark Johnson,2012,5,5,Male,10049,9.5,4.8,4.9,7.0,6B,Scholar,6,,61-79-90,science,,,,,,
50,Richard Smith,2010,6,14,Male,10050,0.6,5.6,8.5,8.8,8B,Sports,8,,,,82.8,chess,,,,
51,Maria Thomas,2007,4,1,Female,10051,3.8,3.6,7.5,8.8,11A,Talent,11,drama,,,,,,,,
52,Linda Thomas,2011,4,6,Female,10052,2.8,8.1,2.8,7.0,7B,Talent,7,drama,,,,,,,,
53,Helen Moore,2011,6,27,Female,10053,3.8,1.8,7.9,9.7,7B,Talent,7,drama,,,,,,,,
54,Kenneth Rodriguez,2011,3,8,Male,10054,4.5,6.1,9.4,9.0,7A,Scholar,7,,89-50-55,science,,,,,,
55,Samantha Miller,2010,7,22,Female,10055,6.0,7.1,1.5,6.8,8A,Scholar,8,,62-81-58,science,,,,,,
56,Jessica Gonzalez,2007,8,16,Female,10056,1.5,6.6,4.8,8.7,11B,Scholar,11,,87-95-79,science,,,,,,
57,Paul Johnson,2010,8,12,Male,10057,1.8,6.5,8.7,9.8,8A,Talent,8,drama,,,,,,,,
58,Jessica Johnson,2006,1,15,Female,10058,3.2,8.2,2.8,6.6,12C,Sports,12,,,,84.0,chess,,,,
59,Mark Wilson,2007,2,21,Male,10059,3.8,6.9,3.0,7.0,11B,Sports,11,,,,77.5,chess,,,,
60,Robert Lopez,2011,1,10,Male,10060,9.3,6.6,0.8,8.2,7A,Scholar,7,,91-78-94,mathematics,,,,,,
61,Michelle Thomas,2009,10,28,Female,10061,6.5,2.9,4.5,8.8,9A,Sports,9,,,,55.4,cricket,,,,
62,Thomas Thomas,2007,1,7,Male,10062,0.5,4.7,0.1,7.4,11C,Sports,11,,,,93.8,cricket,,,,
63,Emma Miller,2007,9,21,Female,10063,8.9,1.1,3.4,9.4,11A,Sports,11,,,,55.1,cricket,,,,
64,George Johnson,2010,3,5,Male,10064,4.6,6.5,0.3,9.0,8A,Scholar,8,,60-57-96,mathematics,,,,,,
65,Michael Rodriguez,2012,4,27,Male,10065,6.1,8.5,0.6,6.5,6B,Talent,6,singing,,,,,,,,
66,George Lopez,2010,8,13,Male,10066,9.1,5.7,6.7,9.7,8B,Talent,8,drama,,,,,,,,
67,George Jones,2009,2,23,Male,10067,0.6,7.3,4.2,6.9,9C,Talent,9,drama,,,,,,,,
68,Susan Gonzalez,2007,11,20,Female,10068,5.4,5.9,8.8,9.0,11B,Talent,11,singing,,,,,,,,
69,Matthew Gonzalez,2010,8,28,Male,10069,0.8,4.0,0.1,9.4,8A,Scholar,8,,87-88-72,science,,,,,,
70,Andrew Hernandez,2012,3,5,Male,10070,6.5,1.1,6.3,6.5,6B,Talent,6,dance,,,,,,,,
71,James Wilson,2010,7,9,Male,10071,4.8,5.5,8.1,8.9,8A,Talent,8,singing,,,,,,,,
72,Donald Anderson,2009,4,3,Male,10072,2.3,5.7,4.5,9.4,9A,Talent,9,dance,,,,,,,,
73,Michelle Rodriguez,2008,5,2,Female,10073,8.9,7.2,9.1,8.9,10B,Scholar,10,,61-100-70,mathematics,,,,,,
74,Barbara Miller,2009,1,21,Female,10074,1.1,3.3,5.2,6.8,9C,Scholar,9,,55-89-57,mathematics,,,,,,
75,Samantha Wilson,2006,5,16,Female,10075,5.6,1.1,6.4,8.7,12C,Sports,12,,,,50.2,chess,,,,
76,Andrew Brown,2011,12,8,Male,10076,9.1,8.2,1.4,10.0,7B,Scholar,7,,50-73-94,mathematics,,,,,,
77,Anthony Smith,2010,3,8,Male,10077,5.6,1.5,6.5,7.9,8A,Sports,8,,,,53.5,cricket,,,,
78,William Miller,2007,8,13,Male,10078,8.5,6.3,8.5,8.7,11B,Talent,11,drama,,,,,,,,
79,Daniel Miller,2011,3,26,Male,10079,7.4,7.7,8.5,7.5,7A,Sports,7,,,,50.2,cricket,,,,
80,Mark Anderson,2009,11,1,Male,10080,3.9,5.4,3.7,10.0,9C,Scholar,9,,87-67-54,science,,,,,,
81,Christine Martin,2008,5,13,Female,10081,2.4,4.3,5.8,8.7,10B,Scholar,10,,83-54-71,mathematics,,,,,,
82,Laura Martin,2010,9,3,Female,10082,4.4,8.9,3.2,7.9,8A,Scholar,8,,71-98-96,mathematics,,,,,,
83,Robert Jackson,2010,10,20,Male,10083,6.8,3.0,8.3,9.7,8C,Talent,8,singing,,,,,,,,
84,Sandra Williams,2010,10,1,Female,10084,8.4,5.5,5.4,7.3,8A,Scholar,8,,99-69-68,science,,,,,,
85,Donald Johnson,2009,8,2,Male,10085,6.4,0.8,1.5,7.2,9B,Sports,9,,,,54.4,chess,,,,
86,Andrew Martin,2009,2,11,Male,10086,9.0,8.7,4.7,6.1,9C,Scholar,9,,100-99-90,mathematics,,,,,,
87,Charles Garcia,2010,2,1,Male,10087,6.2,6.1,7.3,9.2,8C,Scholar,8,,82-68-61,science,,,,,,
88,Jennifer Williams,2006,1,11,Female,10088,1.0,4.3,2.4,6.7,12B,Talent,12,drama,,,,,,,,
89,Karen Smith,2007,8,22,Female,10089,8.8,6.7,7.7,6.7,11C,Sports,11,,,,94.3,chess,,,,
90,Emma Jones,2007,2,10,Female,10090,1.8,7.1,6.9,9.4,11B,Scholar,11,,50-97-85,mathematics,,,,,,
91,James Hernandez,2012,3,19,Male,10091,2.1,5.8,8.4,6.1,6C,Scholar,6,,62-79-82,mathematics,,,,,,
92,Elizabeth Smith,2006,9,12,Female,10092,3.4,3.4,3.2,9.1,12C,Scholar,12,,82-91-65,science,,,,,,
93,Steven Martin,2011,10,3,Male,10093,2.9,6.6,5.7,7.5,7C,Talent,7,drama,,,,,,,,
94,Christine Jones,2011,3,7,Female,10094,3.2,5.4,2.8,7.9,7C,Sports,7,,,,55.7,chess,,,,
95,William Lopez,2012,7,19,Male,10095,3.7,3.5,7.9,6.2,6B,Talent,6,drama,,,,,,,,
96,Maria Smith,2011,9,12,Female,10096,0.3,7.4,9.4,6.4,7C,Talent,7,dance,,,,,,,,
97,Christine Williams,2008,8,19,Female,10097,3.2,0.7,8.5,7.0,10A,Scholar,10,,54-51-87,mathematics,,,,,,
98,Maria Jackson,2010,2,16,Female,10098,2.5,9.3,9.1,8.4,8B,Sports,8,,,,90.8,cricket,,,,
99,Maria Williams,2010,2,9,Female,10099,2.2,6.8,6.3,7.7,8B,Scholar,8,,63-52-55,science,,,,,,
100,Donald Taylor,2010,6,12,Male,10100,5.2,7.0,6.4,6.5,8A,Scholar,8,,52-82-79,science,,,,,,
101,Susan Anderson,2006,7,23,Female,10101,3.2,7.6,1.1,9.4,12B,Sports,12,,,,65.4,cricket,,,,
102,Robert Thomas,2011,11,23,Male,10102,0.7,7.5,6.3,7.3,7B,Sports,7,,,,51.9,chess,,,,
103,Sandra Davis,2009,12,25,Female,10103,3.4,8.8,4.8,9.3,9A,Sports,9,,,,73.6,cricket,,,,
104,William Johnson,2007,1,4,Male,10104,5.1,5.4,8.0,7.4,11B,Scholar,11,,70-65-69,science,,,,,,
105,Patricia Johnson,2006,10,13,Female,10105,8.3,6.5,9.3,7.1,12A,Talent,12,dance,,,,,,,,
106,George Johnson,2007,3,3,Male,10106,5.0,3.1,5.6,6.9,11B,Sports,11,,,,76.0,cricket,,,,
107,Lisa Lopez,2006,3,12,Female,10107,6.9,2.1,8.3,7.8,12C,Scholar,12,,55-50-70,science,,,,,,
108,Robert Taylor,2006,5,15,Male,10108,5.2,5.5,7.0,10.0,12B,Scholar,12,,94-54-96,mathematics,,,,,,
109,Daniel Williams,2007,2,11,Male,10109,6.0,5.3,2.3,9.2,11A,Scholar,11,,96-59-90,science,,,,,,
110,Sarah Brown,2007,6,19,Female,10110,6.0,3.2,0.5,8.5,11A,Scholar,11,,72-65-90,science,,,,,,
111,Mary Lopez,2010,3,19,Female,10111,1.1,2.7,8.7,9.4,8A,Sports,8,,,,51.3,cricket,,,,
112,Thomas Anderson,2007,1,21,Male,10112,6.5,5.8,8.7,9.7,11C,Sports,11,,,,90.7,cricket,,,,
113,Mary Johnson,2006,10,5,Female,10113,5.9,7.9,8.7,7.5,12C,Sports,12,,,,84.4,chess,,,,
114,Daniel Rodriguez,2009,4,10,Male,10114,3.1,8.1,8.2,7.1,9B,Sports,9,,,,95.8,chess,,,,
115,Steven Taylor,2011,2,28,Male,10115,8.9,8.6,9.2,6.4,7C,Scholar,7,,56-51-50,science,,,,,,
116,Samantha Brown,2006,4,7,Female,10116,4.1,4.9,2.7,6.6,12B,Sports,12,,,,68.6,cricket,,,,
117,John Moore,2007,11,15,Male,10117,3.4,7.6,5.8,6.8,11A,Sports,11,,,,80.7,cricket,,,,
118,Andrew Gonzalez,2012,3,8,Male,10118,6.5,4.8,4.4,8.9,6C,Sports,6,,,,81.5,cricket,,,,
119,Joseph Williams,2006,5,19,Male,10119,3.3,6.2,6.6,8.4,12A,Talent,12,singing,,,,,,,,
120,Andrew Anderson,2006,9,18,Male,10120,9.4,7.7,7.8,9.7,12A,Scholar,12,,79-81-91,science,,,,,,
121,Jessica Gonzalez,2012,2,4,Female,10121,4.4,4.6,1.6,9.6,6C,Talent,6,drama,,,,,,,,
122,Samantha Hernandez,2008,7,17,Female,10122,0.2,6.6,2.0,6.9,10A,Sports,10,,,,91.1,chess,,,,
123,Thomas Martin,2007,10,11,Male,10123,1.2,0.2,0.8,8.2,11A,Scholar,11,,72-95-59,science,,,,,,
124,Michelle Hernandez,2012,8,2,Female,10124,3.0,6.0,3.0,9.3,6C,Sports,6,,,,78.7,chess,,,,
125,Sarah Martinez,2008,9,24,Female,10125,0.8,6.1,1.4,7.6,10A,Scholar,10,,76-91-78,science,,,,,,
126,Michael Jackson,2010,4,16,Male,10126,6.4,3.6,8.7,6.1,8A,Scholar,8,,94-50-90,science,,,,,,
127,Paul Rodriguez,2007,3,14,Male,10127,1.0,2.9,1.0,7.5,11C,Talent,11,drama,,,,,,,,
128,Sarah Martin,2009,5,3,Female,10128,0.7,0.3,7.9,9.9,9A,Scholar,9,,98-52-60,mathematics,,,,,,
129,Paul Martinez,2006,9,6,Male,10129,1.0,2.5,7.6,6.3,12B,Sports,12,,,,60.7,chess,,,,
130,Mark Thomas,2010,12,27,Male,10130,2.2,7.1,7.6,7.4,8C,Sports,8,,,,78.7,cricket,,,,
131,Andrew Martinez,2008,8,28,Male,10131,1.0,8.1,8.5,8.1,10C,Scholar,10,,65-76-71,mathematics,,,,,,
132,Lisa Wilson,2006,10,7,Female,10132,1.0,0.9,1.3,6.2,12C,Sports,12,,,,66.5,chess,,,,
133,Sandra Williams,2012,5,3,Female,10133,0.7,0.4,8.3,9.9,6B,Talent,6,drama,,,,,,,,
134,Paul Williams,2007,5,14,Male,10134,8.2,8.8,7.0,9.5,11B,Talent,11,dance,,,,,,,,
135,Sarah Moore,2012,1,3,Female,10135,0.1,5.7,6.4,7.2,6C,Scholar,6,,84-55-95,science,,,,,,
136,Paul Hernandez,2010,4,15,Male,10136,5.0,4.9,7.7,9.2,8C,Talent,8,singing,,,,,,,,
137,Daniel Anderson,2007,3,16,Male,10137,4.5,4.9,4.9,9.4,11C,Scholar,11,,94-81-61,science,,,,,,
138,Michelle Miller,2008,10,23,Female,10138,2.2,8.3,2.3,7.3,10C,Scholar,10,,94-58-68,science,,,,,,
139,Thomas Moore,2012,3,17,Male,10139,9.5,7.1,6.4,6.1,6C,Sports,6,,,,89.3,chess,,,,
140,Lisa Miller,2007,12,3,Female,10140,7.6,1.3,7.2,9.6,11B,Scholar,11,,76-78-85,science,,,,,,
141,Helen Rodriguez,2008,5,14,Female,10141,0.1,7.6,2.0,8.2,10A,Sports,10,,,,79.1,chess,,,,
142,Michelle Lopez,2006,3,8,Female,10142,9.2,5.3,7.6,6.9,12C,Talent,12,singing,,,,,,,,
143,Barbara Gonzalez,2006,1,3,Female,10143,5.1,9.0,7.1,7.5,12A,Scholar,12,,91-94-56,science,,,,,,
144,Sandra Garcia,2009,10,25,Female,10144,2.3,8.0,3.1,6.9,9C,Talent,9,dance,,,,,,,,
145,Karen Anderson,2012,10,25,Female,10145,1.3,8.4,2.2,6.3,6B,Talent,6,singing,,,,,,,,
146,William Lopez,2011,10,18,Male,10146,3.1,6.3,3.6,8.6,7C,Scholar,7,,71-89-69,science,,,,,,
147,Sandra Miller,2007,4,2,Female,10147,7.1,3.3,7.0,7.4,11C,Scholar,11,,62-84-95,science,,,,,,
148,Thomas Johnson,2007,1,22,Male,10148,0.2,2.6,2.5,7.0,11A,Scholar,11,,72-58-56,science,,,,,,
149,Joseph Brown,2009,5,28,Male,10149,3.6,5.1,8.3,6.6,9B,Sports,9,,,,91.4,chess,,,,
150,Maria Brown,2012,3,4,Female,10150,3.9,4.3,2.8,6.9,6A,Talent,6,singing,,,,,,,,
151,James Anderson,2006,9,27,Male,10151,4.5,1.8,1.6,6.4,12C,Sports,12,,,,74.2,chess,,,,
152,George Hernandez,2009,4,1,Male,10152,1.6,1.6,9.1,8.2,9A,Talent,9,singing,,,,,,,,
153,Emma Gonzalez,2012,10,5,Female,10153,7.8,6.5,3.7,6.7,6A,Talent,6,drama,,,,,,,,
154,Matthew Rodriguez,2007,8,19,Male,10154,3.5,6.8,2.5,9.6,11C,Scholar,11,,92-98-96,mathematics,,,,,,
155,Matthew Hernandez,2012,11,22,Male,10155,7.5,2.5,8.6,6.2,6C,Talent,6,singing,,,,,,,,
156,Andrew Smith,2007,2,20,Male,10156,1.9,3.7,8.0,6.4,11C,Scholar,11,,50-96-78,mathematics,,,,,,
157,Emma Smith,2011,2,16,Female,10157,7.0,6.0,8.4,7.6,7A,Talent,7,drama,,,,,,,,
158,Karen Miller,2011,11,7,Female,10158,9.1,0.1,0.3,8.7,7C,Sports,7,,,,77.4,cricket,,,,
159,Michael Smith,2007,11,14,Male,10159,3.3,7.2,8.3,9.0,11A,Talent,11,singing,,,,,,,,
160,David Rodriguez,2012,11,26,Male,10160,4.3,2.2,9.4,9.8,6B,Talent,6,dance,,,,,,,,
161,John Johnson,2007,12,4,Male,10161,4.2,2.5,1.1,8.8,11C,Talent,11,drama,,,,,,,,
162,Linda Johnson,2008,3,15,Female,10162,4.7,3.3,6.2,9.7,10C,Talent,10,singing,,,,,,,,
163,James Moore,2006,2,22,Male,10163,7.7,3.4,9.3,8.2,12B,Talent,12,singing,,,,,,,,
164,Michael Brown,2011,7,11,Male,10164,1.4,7.3,7.9,7.1,7C,Scholar,7,,51-90-53,mathematics,,,,,,
165,John Williams,2011,7,27,Male,10165,8.3,3.5,6.4,7.0,7B,Talent,7,dance,,,,,,,,
166,Charles Williams,2009,6,14,Male,10166,0.4,1.1,5.7,6.9,9A,Talent,9,singing,,,,,,,,
167,Elizabeth Rodriguez,2010,11,9,Female,10167,6.9,7.4,6.3,6.9,8A,Scholar,8,,70-50-83,science,,,,,,
168,Andrew Lopez,2006,4,16,Male,10168,3.8,4.2,8.9,7.4,12A,Sports,12,,,,53.4,cricket,,,,
169,Maria Williams,2006,11,4,Female,10169,5.1,3.4,9.2,8.4,12C,Talent,12,singing,,,,,,,,
170,Christine Gonzalez,2011,9,1,Female,10170,8.7,6.8,2.0,9.3,7B,Sports,7,,,,72.9,chess,,,,
171,Susan Gonzalez,2009,7,8,Female,10171,7.5,4.6,0.1,8.3,9C,Scholar,9,,70-62-61,mathematics,,,,,,
172,Patricia Williams,2012,12,19,Female,10172,9.1,3.5,2.4,8.0,6C,Sports,6,,,,56.5,chess,,,,
173,Maria Martinez,2008,5,12,Female,10173,0.3,7.8,2.5,7.6,10A,Sports,10,,,,90.8,chess,,,,
174,Anthony Miller,2008,9,24,Male,10174,9.3,1.8,8.6,8.1,10B,Talent,10,singing,,,,,,,,
175,Sarah Lopez,2007,9,11,Female,10175,3.2,5.9,5.7,8.8,11C,Talent,11,dance,,,,,,,,
176,Laura Jones,2010,7,15,Female,10176,8.2,0.1,1.1,8.9,8B,Sports,8,,,,79.5,chess,,,,
177,Michelle Jones,2012,4,17,Female,10177,1.7,6.7,5.4,7.8,6C,Talent,6,drama,,,,,,,,
178,Karen Martinez,2006,5,5,Female,10178,0.6,3.8,7.9,7.6,12B,Talent,12,singing,,,,,,,,
179,Charles Rodriguez,2006,5,18,Male,10179,3.6,9.1,1.8,6.4,12B,Talent,12,singing,,,,,,,,
180,Steven Martinez,2012,10,7,Male,10180,0.6,0.3,3.1,9.6,6C,Talent,6,dance,,,,,,,,
181,Helen Hernandez,2011,11,18,Female,10181,4.0,7.5,1.6,7.5,7C,Scholar,7,,62-90-85,mathematics,,,,,,
182,David Miller,2012,4,8,Male,10182,2.0,6.5,0.3,8.9,6A,Sports,6,,,,92.2,cricket,,,,
183,Patricia Gonzalez,2009,2,26,Female,10183,8.0,1.4,5.8,9.8,9A,Sports,9,,,,62.2,chess,,,,
184,Michael Wilson,2011,2,26,Male,10184,5.4,2.2,1.3,6.6,7C,Scholar,7,,91-72-82,mathematics,,,,,,
185,Linda Garcia,2008,7,24,Female,10185,0.4,0.8,1.5,8.7,10C,Scholar,10,,64-81-98,mathematics,,,,,,
186,Paul Martin,2007,9,22,Male,10186,2.1,4.2,0.5,8.6,11C,Talent,11,dance,,,,,,,,
187,Joseph Hernandez,2010,11,6,Male,10187,7.1,5.5,0.5,8.4,8C,Scholar,8,,97-69-78,mathematics,,,,,,
188,Maria Jackson,2009,8,3,Female,10188,5.4,2.1,4.6,8.2,9B,Sports,9,,,,55.8,cricket,,,,
189,Barbara Gonzalez,2006,3,25,Female,10189,4.4,0.7,8.1,7.0,12A,Sports,12,,,,70.0,chess,,,,
190,Mark Brown,2010,12,13,Male,10190,0.3,3.6,3.9,7.1,8B,Talent,8,dance,,,,,,,,
191,Laura Anderson,2007,4,13,Female,10191,1.3,1.6,5.0,7.0,11C,Scholar,11,,69-55-89,science,,,,,,
192,Mark Jones,2009,12,26,Male,10192,8.6,3.5,0.2,8.3,9C,Sports,9,,,,90.4,cricket,,,,
193,Michelle Jackson,2008,7,1,Female,10193,6.6,7.4,5.1,7.3,10A,Talent,10,drama,,,,,,,,
194,Karen Johnson,2009,1,5,Female,10194,8.4,5.6,5.0,7.6,9A,Scholar,9,,73-54-69,science,,,,,,
195,Charles Jackson,2012,7,28,Male,10195,3.9,4.1,6.4,9.8,6A,Talent,6,singing,,,,,,,,
196,Thomas Moore,2009,1,12,Male,10196,1.6,2.2,9.0,9.7,9C,Talent,9,dance,,,,,,,,
197,Sarah Garcia,2011,6,28,Female,10197,1.1,5.5,5.4,7.5,7B,Scholar,7,,80-62-84,science,,,,,,
198,Andrew Brown,2006,5,4,Male,10198,7.5,4.0,4.2,9.7,12A,Talent,12,singing,,,,,,,,
199,George Rodriguez,2007,11,27,Male,10199,1.4,1.6,6.6,6.3,11B,Sports,11,,,,70.4,cricket,,,,
200,Anna Brown,2010,10,17,Female,10200,6.7,7.2,1.7,6.2,8A,Talent,8,singing,,,,,,,,
201,Samantha Brown,2008,6,16,Female,10201,3.6,2.6,1.0,6.4,10B,Scholar,10,,78-79-77,science,,,,,,
202,Helen Gonzalez,2009,3,27,Female,10202,5.2,7.1,6.1,8.9,9C,Talent,9,drama,,,,,,,,
203,Patricia Hernandez,2011,5,1,Female,10203,0.9,0.7,7.0,9.7,7C,Scholar,7,,79-72-59,mathematics,,,,,,
204,Lisa Gonzalez,2008,3,25,Female,10204,5.9,9.4,6.4,9.5,10A,Sports,10,,,,52.6,chess,,,,
205,Anthony Smith,2009,11,15,Male,10205,0.0,7.6,3.0,9.9,9A,Scholar,9,,52-83-63,science,,,,,,
206,Emma Williams,2006,9,7,Female,10206,9.4,1.9,1.6,8.0,12A,Talent,12,singing,,,,,,,,
207,Patricia Wilson,2006,10,28,Female,10207,5.9,0.3,1.8,9.0,12A,Talent,12,drama,,,,,,,,
208,Richard Smith,2007,3,26,Male,10208,6.6,4.3,2.3,8.3,11B,Sports,11,,,,69.5,cricket,,,,
209,Robert Miller,2012,6,26,Male,10209,3.4,8.3,0.2,9.2,6C,Scholar,6,,64-67-61,science,,,,,,
210,Anthony Taylor,2007,11,20,Male,10210,5.5,9.3,2.6,8.0,11A,Scholar,11,,65-88-75,science,,,,,,
211,Charles Johnson,2006,4,15,Male,10211,3.1,2.9,5.7,7.5,12B,Talent,12,singing,,,,,,,,
212,Karen Rodriguez,2011,12,21,Female,10212,3.2,4.9,3.5,7.3,7B,Scholar,7,,75-63-93,science,,,,,,
213,Anna Hernandez,2011,9,25,Female,10213,4.9,9.2,9.2,9.4,7A,Sports,7,,,,82.9,cricket,,,,
214,Paul Miller,2009,11,23,Male,10214,8.6,5.1,2.4,8.5,9C,Talent,9,singing,,,,,,,,
215,Donald Miller,2010,8,19,Male,10215,6.1,6.9,3.9,6.7,8B,Scholar,8,,99-74-52,science,,,,,,
216,Michael Wilson,2008,11,26,Male,10216,0.4,0.3,7.5,8.5,10C,Sports,10,,,,65.7,cricket,,,,
217,Joseph Anderson,2010,11,28,Male,10217,7.7,3.8,0.4,6.6,8C,Talent,8,drama,,,,,,,,
218,Karen Brown,2007,5,11,Female,10218,9.5,2.8,0.2,7.4,11C,Scholar,11,,52-55-96,mathematics,,,,,,
219,Helen Smith,2008,5,2,Female,10219,2.9,0.5,5.5,7.0,10A,Talent,10,dance,,,,,,,,
220,Helen Martin,2012,12,27,Female,10220,1.3,4.6,9.0,7.0,6B,Talent,6,singing,,,,,,,,
